Timestamp,AccelX,AccelY,AccelZ
7.031429,-0.054337,-0.923721,-0.163010
7.050156,-0.036224,-0.941833,-0.163010
7.070861,-0.018112,-0.978058,-0.181122
7.091818,-0.018112,-0.996170,-0.181122
7.112904,0.000000,-0.978058,-0.163010
7.133930,-0.018112,-0.959946,-0.163010
7.154236,-0.018112,-0.959946,-0.163010
7.175387,-0.018112,-0.959946,-0.181122
7.196565,-0.018112,-0.959946,-0.181122
7.217523,-0.018112,-0.941833,-0.181122
7.238599,-0.018112,-0.941833,-0.163010
7.259221,-0.018112,-0.941833,-0.181122
7.279721,-0.018112,-0.959946,-0.181122
7.300760,0.000000,-0.941833,-0.163010
7.321947,-0.018112,-0.923721,-0.163010
7.343032,0.000000,-0.941833,-0.144897
7.363880,0.018112,-0.941833,-0.163010
7.384930,0.036224,-0.923721,-0.144897
7.406158,0.018112,-0.923721,-0.126785
7.427081,0.036224,-0.905609,-0.108673
7.447582,0.036224,-0.941833,-0.126785
7.468621,0.000000,-0.941833,-0.126785
7.489749,-0.018112,-0.978058,-0.126785
7.509849,-0.036224,-0.978058,-0.144897
7.530170,-0.018112,-0.996170,-0.144897
7.551136,-0.036224,-0.978058,-0.108673
7.572317,-0.036224,-0.959946,-0.108673
7.593286,-0.054337,-0.978058,-0.072449
7.613689,-0.036224,-1.050507,-0.163010
7.634757,-0.036224,-1.014282,-0.126785
7.655336,-0.054337,-1.014282,-0.144897
7.676858,-0.072449,-0.996170,-0.163010
7.698013,-0.054337,-0.996170,-0.181122
7.718650,-0.054337,-0.996170,-0.163010
7.739677,-0.072449,-0.941833,-0.126785
7.760766,-0.054337,-0.959946,-0.144897
7.781874,-0.036224,-0.996170,-0.144897
7.802931,-0.018112,-1.068619,-0.217346
7.823511,-0.036224,-1.086731,-0.217346
7.844575,-0.054337,-0.978058,-0.126785
7.865750,-0.054337,-0.941833,-0.072449
7.886751,-0.036224,-1.014282,-0.199234
7.907733,-0.036224,-1.032394,-0.253571
7.928865,-0.054337,-0.978058,-0.217346
7.949906,-0.054337,-0.978058,-0.163010
7.970171,-0.036224,-0.978058,-0.199234
7.991235,-0.036224,-1.014282,-0.217346
8.011411,-0.018112,-1.032394,-0.217346
8.032652,-0.036224,-1.032394,-0.235458
8.053186,-0.036224,-1.014282,-0.235458
8.074183,-0.054337,-0.959946,-0.199234
8.095223,-0.036224,-0.923721,-0.181122
8.116216,-0.036224,-0.905609,-0.163010
8.137302,0.000000,-0.887497,-0.144897
8.158368,0.018112,-0.905609,-0.163010
8.179271,0.018112,-0.923721,-0.181122
8.200319,0.018112,-0.905609,-0.163010
8.221547,0.018112,-0.905609,-0.163010
8.242475,0.036224,-0.905609,-0.163010
8.263477,0.018112,-0.923721,-0.181122
8.283702,0.036224,-0.923721,-0.163010
8.305724,0.036224,-0.923721,-0.126785
8.325825,0.036224,-0.923721,-0.144897
8.345902,0.036224,-0.996170,-0.181122
8.367941,0.036224,-1.014282,-0.181122
8.388501,0.036224,-1.014282,-0.163010
8.409542,0.054337,-1.014282,-0.163010
8.430558,0.036224,-0.996170,-0.163010
8.451380,0.036224,-0.978058,-0.144897
8.472501,0.036224,-0.978058,-0.181122
8.493529,0.054337,-0.978058,-0.163010
8.514531,0.036224,-0.978058,-0.163010
8.535126,0.018112,-0.959946,-0.144897
8.556051,0.036224,-0.959946,-0.144897
8.577020,0.036224,-0.941833,-0.126785
8.598094,0.036224,-0.978058,-0.163010
8.619159,0.018112,-0.959946,-0.126785
8.639383,0.018112,-0.959946,-0.144897
8.659771,0.036224,-0.959946,-0.163010
8.679870,0.036224,-0.959946,-0.181122
8.701846,0.036224,-0.978058,-0.181122
8.722863,0.036224,-0.978058,-0.144897
8.742794,0.036224,-0.996170,-0.163010
8.764395,0.036224,-1.032394,-0.163010
8.785298,0.036224,-1.068619,-0.181122
8.806343,0.036224,-1.068619,-0.181122
8.827355,0.018112,-1.032394,-0.144897
8.847993,0.036224,-0.978058,-0.090561
8.869248,0.018112,-0.996170,-0.072449
8.890325,0.036224,-1.032394,-0.126785
8.911371,0.018112,-1.068619,-0.217346
8.932394,0.036224,-1.086731,-0.217346
8.953483,0.018112,-1.032394,-0.217346
8.974598,0.036224,-0.996170,-0.181122
8.995171,0.036224,-0.978058,-0.181122
9.016302,0.036224,-0.978058,-0.163010
9.036869,0.036224,-0.959946,-0.181122
9.057786,0.018112,-0.959946,-0.181122
9.078884,0.054337,-0.959946,-0.163010
9.099642,0.036224,-0.978058,-0.181122
9.120730,0.018112,-0.959946,-0.199234
9.141976,0.018112,-0.923721,-0.181122
9.162804,0.000000,-0.923721,-0.181122
9.183951,0.000000,-0.905609,-0.181122
9.204326,0.018112,-0.923721,-0.181122
9.225378,0.018112,-0.923721,-0.181122
9.246391,-0.018112,-0.923721,-0.163010
9.267455,0.000000,-0.923721,-0.181122
9.288661,0.036224,-0.905609,-0.181122
9.309193,-0.018112,-0.923721,-0.181122
9.330386,0.018112,-0.905609,-0.163010
9.351375,-0.018112,-0.923721,-0.163010
9.371557,0.000000,-0.923721,-0.163010
9.392659,0.018112,-0.959946,-0.181122
9.413529,0.000000,-0.941833,-0.181122
9.434558,-0.018112,-0.941833,-0.181122
9.455749,0.000000,-0.941833,-0.163010
9.476257,-0.018112,-0.959946,-0.163010
9.497750,-0.018112,-0.996170,-0.181122
9.518832,-0.018112,-0.996170,-0.181122
9.539407,0.000000,-0.996170,-0.199234
9.559520,-0.018112,-0.996170,-0.199234
9.580589,-0.018112,-0.996170,-0.181122
9.601618,-0.018112,-0.996170,-0.181122
9.622745,-0.036224,-1.014282,-0.181122
9.643809,-0.018112,-1.014282,-0.181122
9.664263,-0.018112,-0.996170,-0.181122
9.685361,-0.018112,-0.959946,-0.181122
9.706353,0.036224,-0.959946,-0.181122
9.727465,0.018112,-0.959946,-0.199234
9.747898,0.018112,-0.959946,-0.181122
9.768589,0.018112,-0.978058,-0.181122
9.789655,0.018112,-0.959946,-0.181122
9.810771,0.018112,-0.959946,-0.163010
9.831810,0.018112,-1.014282,-0.181122
9.852857,0.036224,-0.996170,-0.163010
9.873954,0.036224,-1.014282,-0.163010
9.895032,0.036224,-1.032394,-0.144897
9.915584,0.036224,-1.050507,-0.163010
9.936633,-0.018112,-1.014282,-0.163010
9.957637,-0.036224,-0.959946,-0.090561
9.978753,-0.036224,-0.959946,-0.090561
9.999808,-0.018112,-0.996170,-0.144897
10.019400,-0.036224,-1.014282,-0.181122
10.040765,-0.036224,-1.032394,-0.181122
10.061780,-0.036224,-0.996170,-0.199234
10.082840,-0.018112,-0.959946,-0.163010
10.103856,0.000000,-0.941833,-0.144897
10.124522,0.000000,-0.959946,-0.181122
10.145575,0.000000,-0.959946,-0.199234
10.166402,0.018112,-0.959946,-0.181122
10.187699,0.000000,-0.978058,-0.181122
10.208798,0.018112,-0.978058,-0.199234
10.229977,0.000000,-0.959946,-0.181122
10.250962,0.018112,-0.959946,-0.181122
10.272077,0.000000,-0.959946,-0.163010
10.293097,0.000000,-0.978058,-0.181122
10.312709,0.018112,-0.959946,-0.163010
10.332708,0.036224,-0.959946,-0.181122
10.354361,0.018112,-0.959946,-0.163010
10.374680,0.036224,-0.959946,-0.199234
10.395690,-0.018112,-0.978058,-0.217346
10.416016,0.000000,-0.978058,-0.235458
10.437113,0.018112,-0.978058,-0.217346
10.456401,0.018112,-0.996170,-0.217346
10.476801,0.036224,-0.978058,-0.235458
10.498358,0.018112,-0.959946,-0.217346
10.517771,0.036224,-0.923721,-0.181122
10.539122,0.018112,-0.923721,-0.181122
10.560142,0.036224,-0.905609,-0.181122
10.581032,0.036224,-0.923721,-0.163010
10.602044,0.036224,-0.923721,-0.181122
10.622992,0.036224,-0.923721,-0.163010
10.644104,0.036224,-0.941833,-0.181122
10.665010,0.036224,-0.978058,-0.181122
10.685217,0.036224,-0.959946,-0.181122
10.706243,0.036224,-0.941833,-0.181122
10.727370,0.054337,-0.978058,-0.163010
10.747845,0.036224,-0.996170,-0.181122
